"pid","hid","sex","age","ghq","opngbha","opngbhb","opngbhc","opngbhd","opngbhe","opngbhf","opngbhg","opngbhh","neigh","isced","highqual","wave"
10014578,8000115,"female",61,0,3,2,2,2,2,2,2,2,"yes","primary","no further",8
10014608,8000115,"male",64,0,2,3,2,3,2,2,2,2,"yes","higher degree","further non-vocational",8
10016813,8000212,"male",43,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10016872,8000212,"male",17,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10017933,8000328,"female",56,2,2,3,2,1,1,2,3,2,"yes","first degree","further non-vocational",8
10017992,8000328,"female",19,0,2,2,2,2,2,2,3,2,"yes","hisec mivoc","further vocational",8
10048189,8000689,"male",54,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10048219,8000689,"female",50,0,1,1,1,4,2,2,2,2,"yes","higher voc","further vocational",8
10048308,8000689,"female",19,3,2,2,2,2,1,4,3,2,"yes","higher voc","further vocational",8
10049304,8000832,"female",42,2,1,1,1,1,1,1,1,1,"yes","higher voc","further vocational",8
10049339,8000832,"male",50,0,2,2,2,2,3,2,3,3,"yes","low sec-voc","further vocational",8
10049363,8000832,"female",17,0,3,3,2,2,3,2,4,2,"yes","low sec-voc","further vocational",8
10055266,8001049,"female",31,0,2,3,4,4,2,4,2,2,"yes","low sec-voc","further vocational",8
60023848,8001049,"male",33,2,1,2,2,2,1,3,4,4,"yes","primary","no further",8
10057137,8001278,"female",34,6,3,3,4,4,2,2,3,4,"yes","hisec mivoc","further vocational",8
10059377,8001324,"female",53,0,3,3,2,2,2,3,5,4,"mixed","higher degree","further non-vocational",8
10062351,8001375,"female",55,5,2,3,4,4,1,4,4,2,"yes","higher degree","further non-vocational",8
10062386,8001375,"male",55,6,2,5,4,5,2,4,5,4,"no","higher voc","further vocational",8
10067213,8001529,"male",46,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10067248,8001529,"female",44,4,1,1,1,1,1,1,1,1,"yes","higher degree","further non-vocational",8
10076166,8001731,"female",83,0,2,4,4,4,4,1,2,4,"yes","primary","no further",8
10078401,8001782,"male",67,0,1,1,1,4,1,1,1,1,"yes","higher voc","further vocational",8
10079556,8001839,"female",43,0,3,3,3,5,1,1,5,2,"yes","higher voc","further vocational",8
10079688,8001839,"male",17,0,3,3,4,2,5,2,3,2,"mixed","primary","no further",8
10079653,8001898,"female",20,2,3,4,4,4,2,3,4,3,"mixed","primary","no further",8
10080643,8002045,"female",50,0,2,1,1,3,1,3,3,2,"yes","low sec-voc","further vocational",8
10080678,8002045,"male",23,0,2,3,3,4,2,5,3,2,"yes","first degree","further non-vocational",8
10081798,8002193,"female",79,0,2,2,2,4,2,2,2,2,"yes","primary","no further",8
10087397,8002258,"female",51,9,2,2,2,2,2,2,2,2,"yes","primary","no further",8
10087427,8002258,"female",29,0,3,3,4,5,2,5,3,3,"yes","low sec-voc","further vocational",8
